,name
800,Murray's Heart Of Darkness
801,Mountain Goat Rye IPA
802,Forty Four American Amber
803,Murray's Punch & Judy
804,Red Hill Hop Harvest Ale
805,Road Trip
806,Jamieson Beast IPA
807,Kooinda Black IPA - Full Nelson
808,Murray's Best Extra Porter
809,Seeing Double
810,Southwark Old Stout
811,4 Pines Dry Stout
812,Best Extra Stout
813,Raging Flem
814,Red Duck The Ox
815,Ace Of Spades
816,Spildt Mælk (Boys Don’t Cry Over Spilled Milk)
817,USAlive! (Alive)
818,Not Just Another Wit
819,Fuck Art - Let's Dance!
820,Reparationsbajer
821,Mosaic Black IPA
822,Snowball Saison Ale
823,Mine Is Bigger Than Yours
824,Santa's Little Helper 2012
825,Kremlin Crude
826,Mastodon Mother Puncher
827,By Udder Means
828,Amarillo Single Hop IPA
829,SpontanSeabuckthorn
830,The Fundamental Blackhorn
831,Liquid Confidential
832,Crooked Moon Tattoo Stockholm
833,Pacific Ale
834,Knappstein Reserve Lager
835,Boris Imperial Stout
836,La Sirène Saison
837,Clout Stout
838,IIPA Imperial IPA
839,Little Creatures Pale Ale
840,Murray's Wild Thing Imperial Stout
841,Watermelon Warhead
842,Hop Hog
843,Amager / Grassroots - Shadow Pictures - Skyggebilleder
844,Gose To Hollywood
845,Black Magic Woman
846,Stateside IPA
847,19
848,It's Alive - White Wine Barrel Aged
849,Monk's Brew
850,Limfjordsporter
851,Hallo Ich Bin Berliner Weisse - Raspberry
852,Spontanbeetroot
853,Spontandryhop Citra
854,Mikkeller / Grassroots Wheat Is The New Hops
855,Sur Amarillo
856,Sur Simcoe
857,Amager / Jester King - Danish Metal
858,Amager / Mikkeller - Hr. Frederiksens Væsel Brunch - Barrel-Aged
859,Beer Geek Brunch Weasel (Islay Edition)
860,Draft Bear
861,Forêt Du Centre (Light Toasted)
862,Dark Hops
863,Kaffestout
864,Rugporter
865,Nelson Sauvin Single Hop IPA
866,Spontancassis
867,Simcoe Single Hop IPA
868,Big Worster
869,Jule Mælk
870,Tomahawk Single Hop IPA
871,Amager / Mikkeller - Hr. Frederiksens Væsel Brunch
872,To Øl / Mikkeller Overall IIPA
873,Spontansauternes
874,Liquid Confidential (Cognac Barrel Aged)
875,Mosaic Imperial India Pale Ale
876,SpontanCherryFrederiksdal
877,Beer Geek Brunch Weasel (Bourbon Edition)
878,Double Black Mash
879,Liquid Confidential (Wine/Sherry Barrel Aged)
880,Crooked Moon Tattoo
881,Beer Hop Breakfast
882,Milk Stout
883,Black Ball Porter
884,Texas Ranger (Chipotle Porter)
885,Sur Citra
886,Hr. Frederiksen
887,Dangerously Close To Stupid
888,Spontanframboos
889,Mørke - Pumpernickel Porter
890,Gudeløs
891,Foggy Geezer
892,Beer Geek Dessert
893,Beer Geek Breakfast
894,Beer Geek Brunch Weasel - Cognac Edition
895,Black Malts And Body Salts
896,Lazurite
897,George
898,Citra Imperial India Pale Ale
899,Amager / Surly - Todd The Axe Man
900,Sort Mælk
901,Goliat
902,Beer Geek Vanilla Maple Shake
903,Beer Geek Cocoa Shake
904,Beer Geek Brunch Weasel
905,Nelson Sauvignon (Nelson Sauvin Brut)
906,Beer Geek Vanilla Shake
907,Beer Geek Vanilla Shake - Bourbon Barrel-Aged
908,Franziskaner Weissbier Royal
909,Hirsch Bavarian-Weissbier Hefeweisse
910,Spaten Optimator
911,Kölsch
912,Hofbräu Münchner Weisse
913,Ayinger Winterbock
914,Crew 7:45 Escalation
915,Ayinger Kirta-Halbe
916,Klosterbräu Schwärzla
917,Black Shark
918,Neumarkter Lammsbräu (Organic) Pilsner
919,Rothaus Hefeweizen
920,Leipziger Gose
921,Schwarzbier
922,Augustiner Bräu Oktoberfestbier
923,Edelstoff
924,Tucher Helles Hefe Weizen
925,Pilsner
926,Augustiner Bräu Maximator
927,Ettaler Curator Dunkler Doppelbock (US Import Version)
928,St. Martin Dunkler Doppelbock
929,Helles
930,Weltenburger Kloster Barock Dunkel
931,Amarsi Double IPA
932,Faust Hefeweizen Dunkel
933,Bonator
934,Backbone Splitter
935,Aecht Schlenkerla Kräusen
936,Salvator Doppel Bock
937,Kyritzer Mord Und Totschlag
